Localidad_fic,MARZO2023_NOVI 2024,dic24_mar25,marzo_octubre 2021,nov21_sep08_2022,sep09_2022_mar2023
Antonio Nariño,0.735632183908046,0.5142857142857142,0.8571428571428571,0.7606490872210954,0.0
Barrios Unidos,0.9120879120879121,0.9310344827586207,0.7634854771784232,0.9158653846153846,0.0
Bosa,0.7884933774834437,0.8628841607565012,0.8672985781990521,0.7752475247524753,0.0
Candelaria,0.6700507614213198,0.6,0.8076923076923077,0.8529411764705882,0.0
Chapinero,0.9795918367346939,0.0,0.0,0.8214285714285714,0.0
Ciudad Bolívar,0.7412935323383084,0.7688172043010753,0.7998065764023211,0.8537519142419602,0.0
Engativá,0.9237668161434978,0.944954128440367,0.8494623655913979,0.8845654993514915,0.0
Fontibón,0.8535564853556485,0.9365079365079365,0.8680851063829788,0.8622327790973872,0.0
Kennedy,0.7997577714977796,0.8106508875739645,0.8363874345549738,0.8193473193473193,0.0
Los Mártires,0.7470433639947438,0.5423728813559322,0.7905759162303665,0.862708719851577,0.0
Puente Aranda,0.7868020304568528,0.8064516129032258,0.7708978328173375,0.8187772925764192,0.0
Rafael Uribe Uribe,0.645,0.6266666666666667,0.9352014010507881,0.8288770053475936,0.0
San Cristóbal,0.6831372549019608,0.45977011494252873,0.9741219963031423,0.8663282571912013,0.0
Santa fe,0.7783056215360253,0.7520661157024794,0.7543859649122807,0.872865275142315,0.0
Suba,0.9230769230769231,0.7807017543859649,0.9509043927648578,0.9677790563866513,0.0
Sumapaz,0.0,0.0,0.0,0.0,0.0
Teusaquillo,0.881578947368421,0.0,0.0,0.88,0.0
Tunjuelito,0.8228021978021978,0.9333333333333333,0.7922848664688428,0.8734402852049911,0.0
Usaquén,0.8679950186799502,0.9,0.8284182305630027,0.9076923076923077,0.0
Usme,0.9491899852724595,1.0,0.8761904761904762,0.9425028184892897,0.0
